hpcd,mdc6,value
20051,20110,452
20122,60340,452
30538,60020,452
30707,50050,452
10034,160000,452
30154,30000,452
10002,70560,451
10033,12002x,451
31193,40040,451
90226,110280,451
10024,30250,450
10052,30250,450
20024,60020,450
20038,20110,450
20108,130030,450
30150,60035,450
30746,10010,450
90203,40080,450
1095,07040x,449
20004,40040,449
20026,12002x,449
20046,20110,449
30344,40040,449
30490,50050,449
30514,20110,449
31328,50050,449
20123,100000,449
2909,20220,448
10052,20110,448
10056,50050,448
20052,60050,448
30458,20110,448
31331,60000,448
10054,100000,448
10063,20220,447
20026,60035,447
20122,50130,447
20138,20110,447
30127,60340,447
30833,40040,447
30845,50050,447
31465,40040,447
2850,60100,446
3189,50050,446
20017,40040,446
20088,50070,446
20110,40040,446
20125,70343,446
30914,20110,446
31408,180040,446
10005,50050,445
10006,40040,445
10077,12002x,445
20077,140010,445
30226,110280,445
31301,160000,445
20038,40040,444
20048,60100,444
20066,20110,444
20148,40040,444
30974,50130,444
31142,140010,444
31156,50050,444
31287,60040,444
10024,110280,443
10027,12002x,443
30454,50050,443
30859,50050,443
10021,100000,443
10022,50080,442
10040,20110,442
10048,03001x,442
10055,60100,442
10074,70560,442
30015,140010,442
30499,50050,442
30914,60100,442
1978,10060,441
10046,110280,441
10054,20110,441
10068,50050,441
20010,20110,441
20012,60020,441
30250,130030,441
30374,50050,441
30477,40040,441
30753,40040,441
31200,50050,441
10013,60035,440
20001,110280,440
20057,10060,440
20133,40040,440
30036,70230,440
30933,40080,440
31032,70470,440
31061,140010,440
31186,40040,440
10026,40000,440
20151,40000,440
2073,100020,439
10001,120010,439
10035,50050,439
10040,50070,439
10058,10030,439
20135,50050,439
1313,110280,438
10031,120010,438
10068,12002x,438
20057,40080,438
20112,50210,438
20116,50070,438
20137,130030,438
30030,60035,438
30664,40040,438
20147,50050,437
30064,10060,437
31179,60100,437
2147,10060,436
10005,50070,436
10027,60050,436
20104,20110,436
20106,110280,436
30423,50050,436
30551,10060,436
30867,10060,436
30933,110310,436
31019,60100,436
31162,60100,436
31162,130010,436
10028,20150,435
20036,50070,435
30237,60100,435
30473,40040,435
30732,50070,435
30773,40040,435
31155,60100,435
31359,140010,435
